text,author
"Were I to lay this little pitfall, ""A + 1 = B, B + 1 = C; supposing A = 1, then B = 2 and C = 3.",Lewis Caroll
Straight all the world was shoulder-knots; no approaching the ladies’ ruelles without the quota of shoulder-knots.,Jonathan Swift
"And with what crown shall I crown thee, and what sceptre shall I place in thy hand?",Oscar Wilde
"The first is, that criticism, contrary to all other faculties of the intellect, is ever held the truest and best when it is the very first result of the critic’s mind; as fowlers reckon the first aim for the surest, and seldom fail of missing the mark if they stay not for a second.",Jonathan Swift
"The pirates lay waste the sea-coast and burn the ships of the fishermen, and take their nets from them.",Oscar Wilde
"The priests in their yellow robes moved silently through the green trees, and on a pavement of black marble stood the rose-red house in which the god had his dwelling.",Oscar Wilde
What would happen when the wind first caught my little canvas?,Robert Louis Stevenson
OLD CAT.,Lewis Caroll
"A snip from some garment of the child's, please.",Mark_Twain
"So every bit of brisk living, and above all when it is healthful, is just so much gained upon the wholesale filcher, death.",Robert Louis Stevenson
We made that florid sentence.,Rudyard Kipling
"""Not so bad a one as it appears, may be,"" said Alfred, shaking hands heartily with the Doctor, and also with Snitchey and Craggs, and then looking round.",Charles Dickens
"What do you call law?""",Charles Dickens
"As I could not Prevail on myself to take the name of Dashwood (a name which after my Henry’s death I could never hear without emotion) and as I was conscious of having no right to that of Annesley, I dropt all thoughts of either, and have made it a point of bearing only my Christian one since my Father’s death”.",Jane Austen
"""Two questions,"" he says, ""are put.",Lewis Caroll
"If I should venture, in a windy day, to affirm to your Highness that there is a large cloud near the horizon in the form of a bear, another in the zenith with the head of an ass, a third to the westward with claws like a dragon; and your Highness should in a few minutes think fit to examine the truth, it is certain they would be all chanced in figure and position, new ones would arise, and all we could agree upon would be, that clouds there were, but that I was grossly mistaken in the zoography and topography of them.",Jonathan Swift
Two cranes flew round and round the vessel.,Oscar Wilde
I could never fathom how a man dares to lift up his voice to preach in a cathedral.,Robert Louis Stevenson
"For night being the universal mother of things, wise philosophers hold all writings to be fruitful in the proportion they are dark, and therefore the true illuminated (that is to say, the darkest of all) have met with such numberless commentators, whose scholiastic midwifery hath delivered them of meanings that the authors themselves perhaps never conceived, and yet may very justly be allowed the lawful parents of them, the words of such writers being like seed, which, however scattered at random, when they light upon a fruitful ground, will multiply far beyond either the hopes or imagination of the sower.",Jonathan Swift
They are as sacred as home letters and old rosebuds.,Rudyard Kipling
Therefore go back to thy Palace and put on thy purple and fine linen.,Oscar Wilde
"From morning to night I pledge a pack of good enough fellows who know nothing.’  It faired as the night went on, and the moon came out of the clouds.",Robert Louis Stevenson
"The Flowers were quite indignant at his daring to intrude into their beautiful home, and when they saw him capering up and down the walks, and waving his arms above his head in such a ridiculous manner, they could not restrain their feelings any longer.",Oscar Wilde
TREBONIUS.,William Shakespeare
The hinds were trudging homewards from the fields.,Robert Louis Stevenson
A poor figure I must have presented to Burns upon the hill-top with his team.,Robert Louis Stevenson
"He paused a moment, for effect to allow silence and suspense to intensify and concentrate the house's interest; then he went on:  “The assassin studied out his plan with a good deal of pains.",Mark_Twain
Lucretius gives exactly the same relation.,Jonathan Swift
What wonderful talents are here mislaid!,Jonathan Swift
"Yet ruled he not long, so great had been his suffering, and so bitter the fire of his testing, for after the space of three years he died.",Oscar Wilde
"LITTLE JACK'S solution calls for a word of praise, as he has written out what really is an algebraical proof in words, without representing any of his facts as equations.",Lewis Caroll
‘Bare he not upon his neck a chain of amber?,Oscar Wilde
"Cousin answered he, do not endeavour to raise my hopes by such flattering assurances.",Jane Austen
Enter a Servant.,William Shakespeare
"They did not mind his being ugly, a bit.",Oscar Wilde
Clemency hastily rose at this sight.,Charles Dickens
This I have produced as a scantling of Jack’s great eloquence and the force of his reasoning upon such abstruse matters.,Jonathan Swift
"“By George, he's just a duke, boys!",Mark_Twain
"At the end of the hall hung a richly embroidered curtain of black velvet, powdered with suns and stars, the King’s favourite devices, and broidered on the colour he loved best.",Oscar Wilde
"""I have,"" said Marion, hastily raising her head.",Charles Dickens
"The crimson curtains in the lower rooms, and the pure white hangings in the little bed-chambers above, beckoned, Come in!",Charles Dickens
"That did him good, directly.",Charles Dickens
"""The grater says,"" returned Clemency, ""Do as you wold be done by"".",Charles Dickens
"But in a shadow of a town like Landrecies, with little else moving, these points of war made a proportionate commotion.",Robert Louis Stevenson
It is all very fine to talk about tramps and morality.,Robert Louis Stevenson
"CHEAM, E. R. D. L., and MEGGY POTTS leave openings at the corners of the Square, which are not in the data: moreover CHEAM gives values for the distances without any hint that they are only approximations.",Lewis Caroll
"She pronounced these words in so mournfull and solemn an accent, that for some time I had not courage to reply.",Jane Austen
"Assuming A, B, C, as the ages at first, and D as the number of the years that have elapsed since then, she finds (rightly) the 3 equations, 2A = B, C = B + A, D = 2B.",Lewis Caroll
"She is probably by this time as tired of me, as I am of her; but as she is too Polite and I am too civil to say so, our letters are still as frequent and affectionate as ever, and our Attachment as firm and sincere as when it first commenced.",Jane Austen
"A hundred gharriwans leap from their boxes and invade the market, and after a short struggle one of them uncarts his capture in a burial-ground a ghastly new place, close to a tramway.",Rudyard Kipling
"And in the morning he rose up, and plucked some bitter berries from the trees and ate them, and took his way through the great wood, weeping sorely.",Oscar Wilde
"There was a general plunge for the ground at the place where the child was alleged to have rested, and many eyes tried hard and hopefully to see the thing that Archy's finger was resting upon.",Mark_Twain
"It was, in the Scots phrase, a good hearing, and put me in good humour with the world.",Robert Louis Stevenson
H. T. Austen   £105.,Jane Austen
"They still knew that the interest they took in their business was a trifling affair compared to their spontaneous, long-suffering affection for nautical sports.",Robert Louis Stevenson
"(1) ""Two travellers, starting at the same time, went opposite ways round a circular railway.",Lewis Caroll
"“God bless you for the words, Archy Stillman”!",Mark_Twain
"It is a secluded spot, high and remote; recent as to discovery; thought by its occupants to be rich in metal a year or two's prospecting will decide that matter one way or the other.",Mark_Twain
"LA FÈRE OF CURSED MEMORY   WE lingered in Moy a good part of the day, for we were fond of being philosophical, and scorned long journeys and early starts on principle.",Robert Louis Stevenson
SIMPLE SUSAN.,Lewis Caroll
"she said quickly, ""I am glad to hear it, call me nothing else"".",Charles Dickens
He waxed positively lyrical in praise of country scenes.,Robert Louis Stevenson
"Ten days later   “James Walker” is all right in body now, and his mind shows improvement too.",Mark_Twain
"To keep the Queen’s peace is of course only a small portion of Police duty, but it is trying.",Rudyard Kipling
"he little deserved the name—for though he told us that he was much concerned at our Misfortunes, yet by his own account it appeared that the perusal of them, had neither drawn from him a single sigh, nor induced him to bestow one curse on our vindictive stars—.",Jane Austen
"Underneath a great canopy of gold cloth, on which the lions and towers of Castile were broidered in seed pearls, stood the throne itself, covered with a rich pall of black velvet studded with silver tulips and elaborately fringed with silver and pearls.",Oscar Wilde
(said I) How charmingly is the azure varied by those delicate streaks of white”!,Jane Austen
"if the French Ratio were 9/10, and the others 4/9, 1/9 so that the ultimate ratio, by method (a), would be 2/45, I should multiply instead by 2/3, 1/3, giving the result, 1/3 which is nearer to 9/10 than if he had used method (a).",Lewis Caroll
BRUTUS.,William Shakespeare
Of how few people can the same be said!,Robert Louis Stevenson
"Also, if a devout brother of the Rosy Cross will pray fervently for sixty-three mornings with a lively faith, and then transpose certain letters and syllables according to prescription, in the second and fifth section they will certainly reveal into a full receipt of the opus magnum.",Jonathan Swift
"He would stand in the turning of a street, and calling to those who passed by, would cry to one, “Worthy sir, do me the honour of a good slap in the chaps;” to another, “Honest friend, pray favour me with a handsome kick in the rear;” “Madam, shall I entreat a small box in the ear from your ladyship’s fair hands”?",Jonathan Swift
"And the young Fisherman leapt up, and left his wattled house, and ran down to the shore.",Oscar Wilde
Some day one of them will be hurt.,Rudyard Kipling
"The mongoose, always keeping to the man’s neck, erects every hair of its body like an angry cat, and chatters in its owner’s ear.",Rudyard Kipling
"""It has gone to law a little,"" observed Mr. Snitchey, stirring his tea.",Charles Dickens
"This I am told by a very skilful computer, who hath given a full demonstration of it from rules of arithmetic.",Jonathan Swift
"""We borrowed nought: we stole nought.",Lewis Caroll
"Monsieur kept insisting on his sagacity: how he knew all the children at school by name; and when this utterly failed on trial, how he was cautious and exact to a strange degree, and if asked anything, he would sit and think—and think, and if he did not know it, ‘my faith, he wouldn’t tell you at all—foi, il ne vous le dira pas’: which is certainly a very high degree of caution.",Robert Louis Stevenson
For will any one dare to tell me that business is more entertaining than fooling among boats?,Robert Louis Stevenson
When the wind blows over the roofs they rise and fall as painted bubbles do.,Oscar Wilde
"Mrs Lutterell will be so good as to accept my compliments, Charlotte, my Love, and Eloisa the best wishes for the recovery of her Health and Spirits that can be offered by her affectionate Freind  E. Marlowe.",Jane Austen
"And he laughed, and said to himself, ‘Surely I have caught all the fish that swim, or snared some dull monster that will be a marvel to men, or some thing of horror that the great Queen will desire,’ and putting forth all his strength, he tugged at the coarse ropes till, like lines of blue enamel round a vase of bronze, the long veins rose up on his arms.",Oscar Wilde
THE FISHERMAN AND HIS SOUL                                   TO H.S.H.,Oscar Wilde
"For the arts are all in a flying march, and therefore more easily subdued by attacking them in the rear.",Jonathan Swift
"""Base is the slave that pays"".",Lewis Caroll
And there was yet another proposal which had the same effect on both of us.,Robert Louis Stevenson
"If this were true, then should I know this secret.",William Shakespeare
"said he, ""Have you any idea?""",Lewis Caroll
BRUTUS.,William Shakespeare
"Janetta was then only fifteen; naturally well disposed, endowed with a susceptible Heart, and a simpathetic Disposition, she might, had these amiable qualities been properly encouraged, have been an ornament to human Nature; but unfortunately her Father possessed not a soul sufficiently exalted to admire so promising a Disposition, and had endeavoured by every means on his power to prevent it encreasing with her Years.",Jane Austen
BRUTUS.,William Shakespeare
"To say that she had two left legs, and somebody else's arms; and that all four limbs seemed to be out of joint, and to start from perfectly wrong places when they were set in motion; is to offer the mildest outline of the reality.",Charles Dickens
"What hast thou to do with us, and what we suffer?’  ‘Are not the rich and the poor brothers?’ asked the young King.",Oscar Wilde
"Now you know my purpose, and wants.",Charles Dickens
The half that is mine shall be thine also”.,Oscar Wilde
"But I forget that I am expatiating on a subject wherein I have no concern, having neither a talent nor an inclination for satire.",Jonathan Swift
"And on this occasion she is resolute: she says the thing must and shall be done: and she has ordered up ten thousand additional bamboos!""",Lewis Caroll
"There, gentlemen!",Lewis Caroll
"And in the streets outside Englishmen summarize the situation brutally, thus: “The whole thing is a farce.",Rudyard Kipling
he touches the forefinger now middle finger now ring-finger ”  “Stuck”!,Mark_Twain
"But Billy Stevens, the barkeeper, called the house to order, and said one at a time was best.",Mark_Twain
"LETTER 8th LAURA to MARIANNE, in continuation   Lady Dorothea had not left us long before another visitor as unexpected a one as her Ladyship, was announced.",Jane Austen
"The man is sleeping like a little child, both arms thrown over his head, and he is not unhandsome.",Rudyard Kipling
They stretched out their lean arms and pulled the heavy oars through the water.,Oscar Wilde
"The dry thorn blossomed, and bare roses that were redder than rubies.",Oscar Wilde
In a few minutes the Hogan cabin was reached.,Mark_Twain
"Many an insect deriving its delicate color from harmless leaves and herbs, was stained anew that day by dying men, and marked its frightened way with an unnatural track.",Charles Dickens
Religion?',Mark_Twain
"""Did you never hear?""",Charles Dickens
"The novice looked out through the wicket, and when he saw who it was, he drew back the latch and said to him, ‘Enter.’  And the young Fisherman passed in, and knelt down on the sweet-smelling rushes of the floor, and cried to the Priest who was reading out of the Holy Book and said to him, ‘Father, I am in love with one of the Sea-folk, and my soul hindereth me from having my desire.",Oscar Wilde
"We could see them tossing their heads, and running to and fro in timorous indecision; and when they had made up their minds, and the donkey followed the horse, and the cow was after the donkey, we could hear their hooves thundering abroad over the meadows.",Robert Louis Stevenson
"Come therefore and take it, and the world’s riches shall be thine.’  But the young Fisherman laughed.",Oscar Wilde
"The Estate near Aberdeen which my brother possesses by the bounty of his great Uncle independant of Sir George, was entirely sufficient to support him and my Sister in Elegance and Ease.",Jane Austen
"I built myself a lordly pleasure-house,       Wherein at ease for aye to dwell;     I said: “O Soul, make merry and carouse,       Dear Soul for all is well”.",Rudyard Kipling
"""It's a world full of hearts,"" said the Doctor; hugging his younger daughter, and bending across her to hug Grace for he couldn't separate the sisters; ""and a serious world, with all its folly even with mine, which was enough to have swamped the whole globe; and a world on which the sun never rises, but it looks upon a thousand bloodless battles that are some set-off against the miseries and wickedness of Battle-Fields; and a world we need be careful how we libel, Heaven forgive us, for it is a world of sacred mysteries, and its Creator only knows what lies beneath the surface of His lightest image!""",Charles Dickens
She was all sensibility and Feeling.,Jane Austen
“Of course: what would be the good of a lookout if the man couldn’t tell where the fire was”?,Rudyard Kipling
"This with a suggestive glance at the barkeeper, who did not choose to see it, since the man under discussion was a good customer, and went home pretty well set up, every night, with refreshments furnished from the bar.",Mark_Twain
"Now is it Rome indeed, and room enough, When there is in it but one only man.",William Shakespeare
"I am no orator, as Brutus is; But, as you know me all, a plain blunt man, That love my friend; and that they know full well That gave me public leave to speak of him.",William Shakespeare
"Ah, good Grace!",Charles Dickens
I could see my friend perspiring in his chair whenever that particular topic came up.,Robert Louis Stevenson
But I made him no answer.,Oscar Wilde
"The stream ran away with my heels as fast as I could pull up my shoulders, and I seemed, by the weight, to have all the water of the Oise in my trousers-pockets.",Robert Louis Stevenson
"In due deference to so laudable a custom, I do here return my humble thanks to His Majesty and both Houses of Parliament, to the Lords of the King’s most honourable Privy Council, to the reverend the Judges, to the Clergy, and Gentry, and Yeomanry of this land; but in a more especial manner to my worthy brethren and friends at Will’s Coffee-house, and Gresham College, and Warwick Lane, and Moorfields, and Scotland Yard, and Westminster Hall, and Guildhall; in short, to all inhabitants and retainers whatsoever, either in court, or church, or camp, or city, or country, for their generosity and universal acceptance of this divine treatise.",Jonathan Swift
For the life of me I cannot understand it.,Robert Louis Stevenson
“Do such things!,Rudyard Kipling
"I think you the most amiable, and the handsomest Man in England, and so to be sure you are.",Jane Austen
"They were quite tame, and used to feed out of his hands every morning.",Oscar Wilde
"Having I trust by this assurance entirely done away every Suspicion and every doubt which might have arisen in the Reader’s mind, from what other Historians have written of her, I shall proceed to mention the remaining Events that marked Elizabeth’s reign.",Jane Austen
[Servants lie down.],William Shakespeare
"He himself was the monster, and it was at him that all the children had been laughing, and the little Princess who he had thought loved him—she too had been merely mocking at his ugliness, and making merry over his twisted limbs.",Oscar Wilde
"""Expected every minute"".",Charles Dickens
"I do not know it.’  But the merchants mocked at him, and said, ‘Of what use is a man’s soul to us?",Oscar Wilde
"Even to the sea will I return, and to the little bay where she is wont to sing, and I will call to her and tell her the evil I have done and the evil thou hast wrought on me.’  And his Soul tempted him and said, ‘Who is thy love, that thou shouldst return to her?",Oscar Wilde
I'll ask the questions; you answer them”.,Mark_Twain
"I graciously promised that I would, but could not help observing that the unsimpathetic Baronet offered it more on account of my being the Widow of Edward than in being the refined and amiable Laura.",Jane Austen
"They make a strange feature in the landscape; above all when they are startled, and you see them galloping to and fro with their incongruous forms and faces.",Robert Louis Stevenson
"Believe me for mine honour, and have respect to mine honour, that you may believe.",William Shakespeare
CASSIUS.,William Shakespeare
"""That's what you have to find out!""",Lewis Caroll
cried Snitchey.,Charles Dickens
You can pump him till you are tired; it ain't any use; you won't get anything.,Mark_Twain
"Upon these journeys of discovery, as he would call them—and, indeed, they were to him real voyages through a marvellous land, he would sometimes be accompanied by the slim, fair-haired Court pages, with their floating mantles, and gay fluttering ribands; but more often he would be alone, feeling through a certain quick instinct, which was almost a divination, that the secrets of art are best learned in secret, and that Beauty, like Wisdom, loves the lonely worshipper.",Oscar Wilde
"She was a strictly subordinate character, and came to a sad end.",Rudyard Kipling
"When he is drunk he is but ask the river police what a lean, mad Yankee can do with his nails and teeth.",Rudyard Kipling
"AFTER so wide a compass as I have wandered, I do now gladly overtake and close in with my subject, and shall henceforth hold on with it an even pace to the end of my journey, except some beautiful prospect appears within sight of my way, whereof, though at present I have neither warning nor expectation, yet upon such an accident, come when it will, I shall beg my reader’s favour and company, allowing me to conduct him through it along with myself.",Jonathan Swift
[Exit.],William Shakespeare
"Another time he was telling of an old sign-post {98b} that belonged to his father, with nails and timber enough on it to build sixteen large men-of-war.",Jonathan Swift
“Quod procul à nobis flectat Fortuna gubernans”.,Jonathan Swift
"They will be dropping along about three hours from now, and will spread the news do you hear?",Mark_Twain
SEVEN OLD MEN.,Lewis Caroll
"I am not, like other men, to envy or undervalue the talents I cannot reach, for which reason I must needs bear a true honour to this large eminent sect of our British writers.",Jonathan Swift
"Although she was a real Princess and the Infanta of Spain, she had only one birthday every year, just like the children of quite poor people, so it was naturally a matter of great importance to the whole country that she should have a really fine day for the occasion.",Oscar Wilde
“There are no men here”!,Rudyard Kipling
"""For Mr. Alfred's sake,"" said Clemency, with homely earnestness.",Charles Dickens
"When next the Captain's heavy footfall passed, the younger man roused himself to speak.",Lewis Caroll
Danger knows full well That Caesar is more dangerous than he.,William Shakespeare
Not at all.,Charles Dickens
A little below this junction we made another meeting of yet more account.,Robert Louis Stevenson
"Eloisa’s indisposition has brought us to Bristol at so unfashionable a season of the year, that we have actually seen but one genteel family since we came.",Jane Austen
A thunderous response followed   “In the billiard-room of this house”!,Mark_Twain
“Have you been long in Essex Ma’am”?,Jane Austen
He paused.,Mark_Twain
"The little Princess herself walked up and down the terrace with her companions, and played at hide and seek round the stone vases and the old moss-grown statues.",Oscar Wilde
"""Really, I'm afraid that wouldn't soften his opinions, Mr. Alfred,"" said Snitchey.",Charles Dickens
"""I believe, Mr. Snitchey,"" said Alfred, ""there are quiet victories and struggles, great sacrifices of self, and noble acts of heroism, in it even in many of its apparent lightnesses and contradictions not the less difficult to achieve, because they have no earthly chronicle or audience; done every day in nooks and corners, and in little households, and in men's and women's hearts any one of which might reconcile the sternest man to such a world, and fill him with belief and hope in it, though two-fourths of its people were at war, and another fourth at law; and that's a bold word"".",Charles Dickens
"Be angry when you will, it shall have scope; Do what you will, dishonour shall be humour.",William Shakespeare
"The men are travelling on foot, and rested there last night; and as it was Marion's birth-day, and he thought it would please her, he sent them on, with a pencilled note to me, saying that if I thought so too, they had come to serenade her"".",Charles Dickens
"""You never loved him and you married him in your self-sacrifice to me!""",Charles Dickens
"‘By the hoofs of the goat I swear it,’ she made answer.",Oscar Wilde
"""You are young, Norman,"" sighed his father; ""young and light-hearted.",Lewis Caroll
"""Well, well!""",Charles Dickens
"“And did you then never feel the pleasing Pangs of Love, Augusta?",Jane Austen
"When she called at a house in the way of business, it appeared he kept her company; and whenever a sale was made, received a sou out of the profit.",Robert Louis Stevenson
This is worth coming across India to see”!,Rudyard Kipling
POLAR STAR.,Lewis Caroll
"He has taken on with his sister since then, and goes to see her very often.",Charles Dickens
"He had a mind to go home again, it seems.",Robert Louis Stevenson
"‘When the moon rose I returned to the same place and sought for the house, but it was no longer there.",Oscar Wilde
"""She was a staid little woman, was Grace, and a wise housekeeper, and a busy, quiet, pleasant body; bearing with our humours and anticipating our wishes, and always ready to forget her own, even in those times.",Charles Dickens
"4, 5, 8 lbs.",Lewis Caroll
Where is thy leather apron and thy rule?,William Shakespeare
DARDANIUS.,William Shakespeare
“Walk-round at Government House.,Rudyard Kipling
Any sort of supervision there”?,Rudyard Kipling
"All which required abundance of finesse and delicatesse to manage with advantage, as well as a strict observance after times and fashions.",Jonathan Swift
"She had all the Queen’s pretty petulance of manner, the same wilful way of tossing her head, the same proud curved beautiful mouth, the same wonderful smile—vrai sourire de France indeed—as she glanced up now and then at the window, or stretched out her little hand for the stately Spanish gentlemen to kiss.",Oscar Wilde
Answer.,Lewis Caroll
"And, besides, you said you had home talk enough in stock to keep us up and at it half the night”.",Mark_Twain
"After Hautmont, the sun came forth again and the wind went down; and a little paddling took us beyond the ironworks and through a delectable land.",Robert Louis Stevenson
You must not expect scandal for by the same rule we are equally debarred either from hearing or inventing it.—You must expect from me nothing but the melancholy effusions of a broken Heart which is ever reverting to the Happiness it once enjoyed and which ill supports its present wretchedness.,Jane Austen
and the probable hour of her arrival.,Rudyard Kipling
“Is he a mystery”?,Mark_Twain
"Still she looked fixedly upon her, and made no reply.",Charles Dickens
It is impossible that ever Rome Should breed thy fellow.,William Shakespeare
"""All this is full of charm for me"".",Lewis Caroll
"And therefore I, the author of this miraculous treatise, having hitherto, beyond expectation, maintained by the aforesaid handle a firm hold upon my gentle readers, it is with great reluctance that I am at length compelled to remit my grasp, leaving them in the perusal of what remains to that natural oscitancy inherent in the tribe.",Jonathan Swift
"But the wind blew so hard, we could get little else to smoke.",Robert Louis Stevenson
And come yourselves and bring Messala with you Immediately to us.,William Shakespeare
"""Since when, Sir?""",Charles Dickens
Alas!,Robert Louis Stevenson
"Craggs?""",Charles Dickens
He vainly flatters himself that change of Air will heal the Wounds of a broken Heart!,Jane Austen
O masters!,William Shakespeare
"He is at hand, and Pindarus is come To do you salutation from his master.",William Shakespeare
Here may it long flourish and abound; may it survive and neglect the scorn of the world with as much ease and contempt as the world is insensible to the lashes of it.,Jonathan Swift
But the poor fishermen had not so easily forgotten their property.,Lewis Caroll
"He stood before the image of Christ, and on his right hand and on his left were the marvellous vessels of gold, the chalice with the yellow wine, and the vial with the holy oil.",Oscar Wilde
"The Royal Nautical Sportsmen were as nice young fellows as a man would wish to see, but they were a trifle too young and a thought too nautical for us.",Robert Louis Stevenson
(exclaimed I) how am I to avoid those evils I shall never be exposed to?,Jane Austen
"We will start as we did before, but not to begin counting till our trains meet.",Lewis Caroll
[Exeunt.],William Shakespeare
‘At the end of the garden stood a little pavilion.,Oscar Wilde
"to know if he is still in Newgate, or if he is yet hung.",Jane Austen
Three fingers and a trifle over seems to be the use of the officers and seamen who are talking so quietly in the doorway.,Rudyard Kipling
"EDWARD the 6th   As this prince was only nine years old at the time of his Father’s death, he was considered by many people as too young to govern, and the late King happening to be of the same opinion, his mother’s Brother the Duke of Somerset was chosen Protector of the realm during his minority.",Jane Austen
"“'Turned six, your Honor.'",Mark_Twain
3 might be.,Mark_Twain
"Many a lonely moon was bright upon the battle-ground, and many a star kept mournful watch upon it, and many a wind from every quarter of the earth blew over it, before the traces of the fight were worn away.",Charles Dickens
"How blind and unreasoning and arbitrary are some of the laws of nature the most of them, in fact!",Mark_Twain
"Let me speak to her, if you please!""",Charles Dickens
And the day after to-morrow night there 'll be an end of him; nobody will ever guess who finished him up nor how it was done.,Mark_Twain
"and the 75 per cent., though commenced at opposite ends of the 100, must overlap by at least 45 per cent.",Lewis Caroll
"“The regularest man that ever was,” said Jake Parker, the blacksmith; “you can tell when it's twelve just by him leaving, without looking at your Waterbury”.",Mark_Twain
"But his brother Jack, whose adventures will be so extraordinary as to furnish a great part in the remainder of this discourse, entered upon the matter with other thoughts and a quite different spirit.",Jonathan Swift
There was a sudden tumult in the house.,Charles Dickens
"They tempt me with temptations, and when I would pray they make mouths at me.",Oscar Wilde
"They only come to look on, and smoke opium in the next room.",Rudyard Kipling
CASSIUS.,William Shakespeare
Calls it in effect rubbish.,Rudyard Kipling
"FROGGY gives no working at least this is all he gives: after stating the given equations, he says ""therefore the difference, 1 sandwich + 3 biscuits, = 3d.",Lewis Caroll
"""I don't know, indeed!""",Lewis Caroll
"It is better fun, during the holidays, to be the son of a travelling merchant, than son and heir to the greatest cotton-spinner in creation.",Robert Louis Stevenson
"But although we had been somewhat indifferent to Landrecies, Landrecies had not been indifferent to us.",Robert Louis Stevenson
"Go you down that way towards the Capitol; This way will I. Disrobe the images, If you do find them deck’d with ceremonies.",William Shakespeare
I wish my dear Charlotte that you could but behold these Scotch giants; I am sure they would frighten you out of your wits.,Jane Austen
Lend me your hand.,William Shakespeare
"""No,"" said Mrs. Snitchey, sharply.",Charles Dickens
"Only tell me truly, Mr.",Charles Dickens
"Very good, I show.",Rudyard Kipling
The whole company streamed out to join the hunt.,Mark_Twain
"‘Nay, but it is a Star-Child,’ he answered; and he told her the strange manner of the finding of it.",Oscar Wilde
Perhaps a knight of that name built it.,Rudyard Kipling
"""Twenty doors on a side!",Lewis Caroll
In vain did we count the tedious moments of his absence—in vain did we weep—in vain even did we sigh—no Edward returned—.,Jane Austen
"Sometimes he would send them out upon errands of great importance, where it is wonderful to recount, and perhaps the cautious reader may think much to believe it; an appetitus sensibilis deriving itself through the whole family from their noble ancestors, guardians of the Golden Fleece, they continued so extremely fond of gold, that if Peter sent them abroad, though it were only upon a compliment, they would roar, and spit, and belch, and snivel out fire, and keep a perpetual coil till you flung them a bit of gold; but then pulveris exigui jactu, they would grow calm and quiet as lambs.",Jonathan Swift
"""You don't know what I do.",Charles Dickens
"If arguing makes us sweat, The proof of it will turn to redder drops.",William Shakespeare
"Kneel not, gentle Portia.",William Shakespeare
"“But my love why lament his perfidy, when you bore so well that of many young Men before”?",Jane Austen
"Her body was as white ivory, and her tail was of silver and pearl.",Oscar Wilde
"Urge me no more, I shall forget myself; Have mind upon your health, tempt me no farther.",William Shakespeare
"I desire of those whom the learned among posterity will appoint for commentators upon this elaborate treatise, that they will proceed with great caution upon certain dark points, wherein all who are not verè adepti may be in danger to form rash and hasty conclusions, especially in some mysterious paragraphs, where certain arcana are joined for brevity sake, which in the operation must be divided.",Jonathan Swift
Hark!,William Shakespeare
"And then, without waiting for an answer, which I suppose she thought superfluous in so plain a case, recommended us to a butcher who lived hard by the tower, and took in travellers to lodge.",Robert Louis Stevenson
The Calcutta durwan is a great institution.,Rudyard Kipling
"Fancy a warrior who would continue fighting after losing both eyes, both ears, and both arms!",Lewis Caroll
"and as to his method of salivation without mercury, so much celebrated of late, it is to my own knowledge and experience a thing very little to be relied on.",Jonathan Swift
"""Yes, Sir,"" returned Clemency.",Charles Dickens
"When in the Convent, my progress had always exceeded my instructions, my Acquirements had been wonderfull for my age, and I had shortly surpassed my Masters.",Jane Austen
It was a plan which was well calculated to ward off all suspicion from its inventor.,Mark_Twain
[March.],William Shakespeare
"A thick-piled carpet covers all the floor, and must be delightful in the hot weather.",Rudyard Kipling
You can't lie snivelling there.,Mark_Twain
Help.,Mark_Twain
"The child of the old King’s only daughter by a secret marriage with one much beneath her in station—a stranger, some said, who, by the wonderful magic of his lute-playing, had made the young Princess love him; while others spoke of an artist from Rimini, to whom the Princess had shown much, perhaps too much honour, and who had suddenly disappeared from the city, leaving his work in the Cathedral unfinished—he had been, when but a week old, stolen away from his mother’s side, as she slept, and given into the charge of a common peasant and his wife, who were without children of their own, and lived in a remote part of the forest, more than a day’s ride from the town.",Oscar Wilde
Why should that name be sounded more than yours?,William Shakespeare
"thundered the old man, rising to his full height (he was exactly five-foot five) in his indignation.",Lewis Caroll
"Here is his first programme, as I found it on the breakfast-table, and have kept it ever since as a relic of bright days:      ‘Mesdames et Messieurs,      ‘Mademoiselle Ferrario et M. de Vauversin auront l’honneur de     chanter ce soir les morceaux suivants.",Robert Louis Stevenson
"Accordingly I entered and whilst the rest of the party were devouring green tea and buttered toast, we feasted ourselves in a more refined and sentimental Manner by a confidential Conversation.",Jane Austen
I know his handwriting.,Mark_Twain
The better classes own their broughams and barouches; the worse can shoulder an Englishman into the kennel and talk to him as though he were a khidmatgar.,Rudyard Kipling
"“Nay, (replied he) I know not whether you may not be in the right in not attempting it, for perhaps they might dazzle you with their Lustre”.",Jane Austen
she's lost and gone!,Mark_Twain
"He may ring the changes as far as it will go, and vary his phrase till he has talked round, but the reader quickly finds it is all pork, {56a} with a little variety of sauce, for there is no inventing terms of art beyond our ideas, and when ideas are exhausted, terms of art must be so too.",Jonathan Swift
“Could you say exactly eight”?,Mark_Twain
"Here is a letter of credit; spend freely, there is no lack of money.",Mark_Twain
"The sleeping Faun that lay in the alcove by the doorway had its twin brother that slumbered, and the silver Venus that stood in the sunlight held out her arms to a Venus as lovely as herself.",Oscar Wilde
"Casca, be sudden, for we fear prevention.",William Shakespeare
"Then he said to the house, “Never mind how he got the hurt; it hasn't anything to do with this case, and isn't of any consequence”.",Mark_Twain
"“Take care, gentlemen be not hasty.",Mark_Twain
My Father does not return to us till Autumn; my Brother will leave Scotland in a few Days; he is impatient to travel.,Jane Austen
